AnswertId,CloneClassType,QuestionId,CreateDate,Scores,Granularity
18676816,1,18676197,2013-09-07 19:03:31,2,Functions
18067285,1,18065725,2013-08-05 20:38:06,6,Functions
35052840,1,35052423,2016-01-28 4:22:53,3,Functions
22133414,1,22133112,2014-03-02 21:01:14,0,Functions
30936591,1,30936056,2015-06-19 11:05:29,4,Functions
32751067,1,32747670,2015-09-23 23:26:47,2,Functions
39041854,1,39041199,2016-08-19 14:42:12,0,Functions
30820820,1,30820713,2015-06-13 16:15:11,2,Functions
35796103,1,35796036,2016-03-04 12:29:12,2,Functions
32343778,1,32343355,2015-09-02 2:33:10,6,Functions
36446296,1,36445244,2016-04-06 9:02:23,0,Functions
16094810,1,16093754,2013-04-18 23:30:50,0,Functions
31370583,1,31368431,2015-07-12 17:30:18,3,Functions
33780876,1,33780491,2015-11-18 13:05:07,2,Functions
15025085,1,15017148,2013-02-22 13:13:08,4,Functions
16138008,1,16137959,2013-04-22 1:15:07,1,Functions
13116162,1,13115784,2012-10-29 5:10:05,20,Functions
9619126,1,9567853,2012-03-08 14:23:03,0,Functions
12677312,1,12677263,2012-10-01 16:30:06,4,Functions
10570645,1,10570537,2012-05-13 9:22:57,3,Functions
25090801,1,25090434,2014-08-02 1:29:44,3,Functions
5649260,1,5645922,2011-04-13 12:33:28,2,Functions
11173036,1,11172733,2012-06-23 21:12:49,5,Functions
13327472,1,13327403,2012-11-11 0:28:54,2,Functions
64183,1,64000,2008-09-15 15:57:29,4,Functions
1156350,1,1156333,2009-07-20 22:36:50,4,Functions
46139483,1,46139102,2017-09-10 10:03:31,0,Functions
38174157,1,38174007,2016-07-03 20:43:07,3,Functions
22346384,1,22345907,2014-03-12 8:55:16,1,Functions
34975683,1,34975572,2016-01-24 12:17:40,0,Functions
37442440,1,37440888,2016-05-25 16:05:40,1,Functions
26319967,1,26319804,2014-10-11 22:34:33,3,Functions
45928104,1,45901142,2017-08-28 22:20:00,-1,Functions
3867248,1,3711036,2010-10-05 20:01:29,0,Functions
42835014,1,42831887,2017-03-16 13:09:13,0,Functions
35575309,1,35566011,2016-02-23 10:44:16,4,Functions
25560938,1,25560820,2014-08-29 2:44:56,-1,Functions
25375584,1,25374966,2014-08-19 4:14:09,1,Functions
25377564,1,25377355,2014-08-19 7:12:52,4,Functions
5773003,1,5728492,2011-04-24 20:18:42,2,Functions
8897341,1,8267964,2012-01-17 15:34:44,6,Functions
7743412,1,7743203,2011-10-12 16:34:36,7,Functions
25997134,1,25995969,2014-09-23 14:02:10,0,Functions
36149061,1,36147226,2016-03-22 8:06:31,2,Functions
6090548,1,6088973,2011-05-22 20:22:08,3,Functions
29544396,1,29544185,2015-04-09 16:48:27,1,Functions
6936508,1,6936111,2011-08-04 5:19:25,2,Functions
25215493,1,25215008,2014-08-09 5:26:11,0,Functions
17789353,1,17788211,2013-07-22 13:52:18,1,Functions
26874695,1,26874488,2014-11-11 21:13:58,1,Functions
43046995,1,43045743,2017-03-27 12:51:15,1,Functions
36636731,1,36612724,2016-04-15 1:20:43,0,Functions
25844851,1,25844721,2014-09-15 9:30:51,1,Functions
25844851,1,25844721,2014-09-15 9:30:51,1,Functions
50575882,1,50575420,2018-05-29 3:22:48,1,Functions
7139129,1,7139011,2011-08-21 15:17:13,2,Functions
17784005,1,17783525,2013-07-22 9:27:23,3,Functions
12773807,1,12773676,2012-10-07 23:44:11,1,Functions
23432611,1,23431963,2014-05-02 16:16:46,3,Functions
22692705,1,22691820,2014-03-27 15:49:29,4,Functions
21163332,1,21158043,2014-01-16 13:37:06,2,Functions
31317154,1,31316760,2015-07-09 12:13:16,6,Functions
20776440,1,20766984,2013-12-25 20:19:08,0,Functions
34767199,1,34766798,2016-01-13 12:49:45,0,Functions
24152336,1,24152150,2014-06-10 23:13:36,0,Functions
45447936,1,45442788,2017-08-01 21:26:52,0,Functions
45397328,1,45397053,2017-07-30 7:14:18,0,Functions
40102394,1,40102065,2016-10-18 7:42:45,1,Functions
37535222,1,37500567,2016-05-31 0:38:21,0,Functions
21376596,1,21375255,2014-01-27 8:59:13,8,Functions
7531627,1,7531607,2011-09-23 15:50:43,5,Functions
3835574,1,3835525,2010-09-30 23:40:33,5,Functions
3115795,1,3113174,2010-06-25 5:38:04,5,Functions
2392540,1,2392520,2010-03-06 13:08:55,1,Functions
33967594,1,33965689,2015-11-28 4:10:31,2,Functions
10253145,1,10250618,2012-04-20 20:29:39,3,Functions
45810563,1,45803958,2017-08-22 6:41:42,0,Functions
36345684,1,36343012,2016-03-31 23:42:56,0,Functions
10269154,1,10269112,2012-04-22 15:17:58,5,Functions
2822231,1,2822147,2010-05-12 19:44:53,2,Functions
13869347,1,13869034,2012-12-13 22:07:54,1,Functions
23455197,1,23452177,2014-05-04 10:34:29,0,Functions
50661738,1,50654736,2018-06-02 22:35:41,1,Functions
11969724,1,11969619,2012-08-15 12:59:21,4,Functions
48753739,1,48753659,2018-02-12 19:07:22,3,Functions
34899156,1,34840299,2016-01-20 11:45:21,3,Functions
11967459,1,11966714,2012-08-15 10:08:19,7,Functions
40327090,1,40326986,2016-10-30 8:00:45,2,Functions
19150064,1,19149865,2013-10-03 3:03:21,1,Functions
15382801,1,15382696,2013-03-13 10:32:43,2,Functions
37228556,1,37226435,2016-05-14 15:34:50,2,Functions
24993580,1,24972941,2014-07-28 10:46:56,3,Functions
24716763,1,24526460,2014-07-12 19:54:14,3,Functions
39345533,1,39340871,2016-09-06 9:33:00,1,Functions
39062369,1,39061644,2016-08-21 8:35:43,1,Functions
34124509,1,2444639,2015-12-07 0:12:44,6,Functions
34555293,1,34555242,2016-01-01 10:18:27,0,Functions
21746066,1,21744412,2014-02-13 5:34:55,0,Functions
10645817,1,10645594,2012-05-18 2:00:29,12,Functions
17318387,1,17318313,2013-06-26 11:06:45,12,Functions
23256569,1,23255943,2014-04-23 22:43:32,1,Functions
30582210,1,30530077,2015-06-01 20:00:42,3,Functions
45898801,1,45867114,2017-08-26 19:09:36,1,Functions
39298686,1,39298401,2016-09-02 18:25:48,8,Functions
17690351,1,17690275,2013-07-17 3:00:36,8,Functions
14786365,1,14786319,2013-02-09 8:41:55,1,Functions
12575259,1,12575201,2012-09-25 1:58:05,4,Functions
29044093,1,29043568,2015-03-14 0:33:02,1,Functions
28947069,1,28946175,2015-03-09 16:29:23,0,Functions
52464211,1,52463529,2018-09-23 8:08:43,1,Functions
10591008,1,10590880,2012-05-14 21:02:19,4,Functions
3626033,1,3625837,2010-09-02 10:05:12,54,Functions
3589069,1,3588932,2010-08-28 1:22:09,8,Functions
3621735,1,3621475,2010-09-01 20:04:53,1,Functions
8373864,1,8373714,2011-12-04 7:04:24,3,Functions
38648539,1,38646966,2016-07-29 0:01:22,0,Functions
45524857,1,45523647,2017-08-05 17:50:13,1,Functions
13262929,1,13262860,2012-11-07 3:55:29,0,Functions
