AnswersId,CloneType,questionsId,CreationDate,Score,Grunality,FavoriteCount,ViewCount,bodyLength,titleLength
14573720,2,14573631,2013-01-29 0:26:50,3,Functions,0,1159,472,49
48606940,2,48605067,2018-02-04 10:07:46,1,Functions,0,561,1847,71
6294099,2,6294033,2011-06-09 14:07:21,3,Functions,1,1781,477,32
53349598,2,53349497,2018-11-17 8:38:03,0,Functions,0,18,447,75
20722088,3,20717477,2013-12-21 18:18:36,3,Functions,0,1996,1928,38
48407113,3,48405990,2018-01-23 17:00:21,0,Functions,0,87,545,21
13859815,3,13859343,2012-12-13 12:24:36,0,Functions,0,119,942,69
13201626,3,13201497,2012-11-02 19:13:12,3,Functions,0,14281,837,30
34518685,3,34518431,2015-12-29 20:36:04,1,Functions,0,154,998,34
43477871,3,43477773,2017-04-18 16:46:44,3,Functions,0,254,726,35
49979674,3,49979247,2018-04-23 11:10:27,3,Functions,0,104,624,82
23888793,3,12572337,2014-05-27 11:56:12,0,Functions,1,744,207,39
42230865,3,42228567,2017-02-14 16:05:23,5,Functions,0,1890,415,49
18741281,3,18740647,2013-09-11 12:28:37,1,Functions,0,198,1658,50
21741080,3,21615748,2014-02-12 22:20:37,0,Functions,0,121,1875,35
12867139,3,12867000,2012-10-12 21:08:47,8,Functions,9,5411,1091,43
32792137,3,32792072,2015-09-25 23:46:11,0,Functions,0,167,1258,144
46445616,3,46444872,2017-09-27 10:32:34,2,Functions,0,375,408,38
32643958,3,32643841,2015-09-18 4:35:53,3,Functions,1,258,1379,63
39293106,3,39291251,2016-09-02 13:01:17,9,Functions,1,652,1164,51
24094421,3,24093694,2014-06-07 6:25:47,6,Functions,1,4365,1476,54
43423396,3,43422538,2017-04-15 7:20:37,1,Functions,0,66,1359,73
22422229,3,22422118,2014-03-15 9:57:46,1,Functions,0,73,925,43
1686935,3,1686862,2009-11-06 11:12:23,8,Functions,0,1149,281,25
20307347,3,20307273,2013-12-01 0:31:51,2,Functions,1,485,1375,17
22323382,3,22323000,2014-03-11 10:47:24,0,Functions,0,49,1767,79
50032732,3,50032654,2018-04-25 23:32:56,2,Functions,0,347,509,36
48309383,3,48309293,2018-01-17 20:22:04,0,Functions,0,55,759,51
20733037,3,20732809,2013-12-22 19:13:43,6,Functions,0,1101,1017,40
35526029,3,35525940,2016-02-20 16:41:23,1,Functions,0,36,1120,41
43644006,3,43643825,2017-04-26 20:31:59,3,Functions,0,82,436,25
12215636,3,12215523,2012-08-31 12:43:16,1,Functions,0,1146,295,54
44080338,3,44075321,2017-05-19 23:32:43,1,Functions,0,84,333,60
46156998,3,46156917,2017-09-11 13:33:00,2,Functions,1,1128,419,63
28513327,3,28513306,2015-02-14 7:00:14,2,Functions,0,52,1047,48
40185656,3,40185629,2016-10-21 21:26:11,2,Functions,0,1078,3123,54
20624279,10,20622359,2013-12-17 1:25:18,16,Functions,5,13240,1964,61
5279599,10,5060589,2011-03-11 23:45:10,10,Functions,2,3328,895,45
17493257,11,17493207,2013-07-05 16:25:07,2,Functions,0,3503,459,74
16411076,11,9460325,2013-05-07 4:11:13,6,Functions,0,23834,873,68
14784953,12,14784773,2013-02-09 4:28:36,3,Functions,0,290,8104,45
16004268,12,16004005,2013-04-14 20:59:51,5,Functions,2,5471,817,50
18526687,13,18526608,2013-08-30 6:51:06,5,Functions,0,622,2009,29
24303301,13,24303015,2014-06-19 9:31:10,1,Functions,0,56,2069,49
19463342,13,19460812,2013-10-19 6:56:22,1,Functions,0,1248,2358,52
17966859,14,17965191,2013-07-31 9:40:17,0,Functions,0,637,3395,57
30443469,14,30442847,2015-05-25 17:43:33,0,Functions,0,497,358,36
15185412,15,15185387,2013-03-03 11:59:48,1,Functions,0,1001,5763,46
28839531,15,28839170,2015-03-03 18:42:38,3,Functions,0,539,1478,20
46366994,15,46360801,2017-09-22 14:22:11,0,Functions,0,234,1486,83
35722854,15,35722676,2016-03-01 12:23:30,1,Functions,1,424,4184,70
30444508,15,30444406,2015-05-25 19:01:35,2,Functions,0,859,1594,39
30876360,15,30875816,2015-06-16 19:21:45,1,Functions,0,787,699,119
53775572,15,53775126,2018-12-14 7:59:16,0,Functions,0,63,1202,47
38992366,15,38992230,2016-08-17 9:06:57,1,Functions,0,217,955,33
44127111,15,44126505,2017-05-23 6:16:28,1,Functions,0,82,335,93
