Uid,PostId,SnippetId,CloneClassnumber,CloneSize,Similarity,CodeLength,Grunality,A_ownerId,A_length,A_CreateDate,A_Score,A_NoOfBoldTags,A_NoOfCodeSnippets,A_NoOfComments,A_NoOfEditOrRevision,Answerer_ReputationScore,Answerer_Upvotes,Answerer_DownVotes,Answerer_PostedQuestions,Answerer_PostedAnswers,Answerer_NoOfRevision,Answerer_NoOfRevisionInAnswer,A_CodeRatioPercentage,A_LinkTags,A_ItalicTags,A_TotalCodeLength,A_codeRatio
1,19796676,1,1,12,70,201,Blocks,1404311,2514,2013-11-05 19:00:11,3,2,7,5,2,12938,2339,224,16,434,969,2,21.5896,3,0,546,0.2159
2,3813334,1,1,12,70,240,Blocks,26051,304,2010-09-28 13:42:55,92,0,2,7,3,45615,1152,164,26,403,733,3,78.3172,0,0,242,0.7832
3,33437027,1,1,12,70,186,Blocks,3850595,496,2015-10-30 13:21:24,1,0,5,2,3,21428,3551,1714,50,971,2893,3,55.5332,0,0,276,0.5553
4,31887275,1,1,12,70,228,Blocks,2229229,987,2015-08-07 22:02:38,1,0,4,1,1,8931,464,105,20,456,776,1,46.5932,0,0,465,0.4659
5,26858051,1,1,12,70,331,Blocks,3898076,554,2014-11-11 5:19:33,0,0,2,2,1,4070,437,93,40,224,816,1,91.2656,0,0,512,0.9127
6,43274795,1,1,12,70,161,Blocks,4086177,564,2017-04-07 9:40:50,0,0,3,4,5,8403,289,3,7,481,1007,3,45.4867,0,0,257,0.4549
7,27452889,1,1,12,70,175,Blocks,2970947,286,2014-12-12 22:09:24,1,0,2,2,1,154455,4689,3703,0,6438,8830,1,59.5819,0,0,171,0.5958
8,27227736,1,1,12,70,210,Blocks,4016077,723,2014-12-01 11:46:41,3,0,3,6,3,1368,114,1,7,95,191,2,66.1602,0,0,479,0.6616
9,35200923,1,1,12,70,264,Blocks,1077188,482,2016-02-04 12:21:34,1,0,2,1,2,3727,597,14,140,45,492,2,85.4806,0,0,418,0.8548
10,11220388,1,1,12,70,395,Blocks,559070,1204,2012-06-27 6:12:14,2,0,2,8,2,44919,340,211,136,730,2170,2,32.5601,0,0,393,0.3256
11,37291968,1,1,12,70,260,Blocks,1552587,325,2016-05-18 6:36:59,1,0,2,2,1,14363,283,35,7,762,1275,1,79.7546,0,0,260,0.7975
12,44113912,1,1,12,70,202,Blocks,8048315,319,2017-05-22 13:16:37,0,0,2,2,1,16,2,0,0,2,2,1,62.1118,0,0,200,0.6211
