X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1,Blocks,1,-5,1519,4.929433,1,1520.325,38.99135,3812
2,Blocks,1,1,1,1,1,0,0,2
3,Blocks,0.5,0,9,3.333333,1,24.33333,4.932883,3
4,Blocks,0,0,1,0.3333333,0,0.3333333,0.5773503,3
5,Blocks,1,0,12,2.8,1.5,11.95556,3.457681,10
6,Blocks,3.25,1,10,5.5,5.5,40.5,6.363961,2
7,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
8,Blocks,0.5,0,6,2.333333,2,5.466667,2.33809,6
9,Blocks,1.75,1,3,2.25,2.5,0.9166667,0.9574271,4
10,Blocks,3.5,2,8,5,5,18,4.242641,2
11,Blocks,0,-1,172,4.100629,2,223.4961,14.94979,159
12,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
13,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
14,Blocks,66,1,261,131,131,33800,183.8478,2
15,Blocks,1.5,1,5,2.666667,2,4.333333,2.081666,3
16,Blocks,0,0,0,0,0,0,0,3
17,Blocks,4.25,1,80,26.625,15.5,842.2679,29.02185,8
18,Blocks,1.75,1,4,2.5,2.5,4.5,2.12132,2
19,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
20,Blocks,0.75,0,3,1.5,1.5,1.666667,1.290994,4
21,Blocks,0,0,1,0.5,0.5,0.3333333,0.5773503,4
22,Blocks,3.25,2,7,4.5,4.5,12.5,3.535534,2
23,Blocks,0,0,0,0,0,0,0,2
24,Blocks,0.5,0,2,1,1,2,1.414214,2
25,Blocks,3,3,4,3.333333,3,0.3333333,0.5773503,3
26,Blocks,1.5,1,2,1.666667,2,0.3333333,0.5773503,3
27,Blocks,1,0,4,2,2,8,2.828427,2
28,Blocks,2,2,7,3.666667,2,8.333333,2.886751,3
29,Blocks,0.5,0,2,1,1,2,1.414214,2
30,Blocks,1,1,3,1.666667,1,1.333333,1.154701,3
31,Blocks,1,1,4,2,1,3,1.732051,3
32,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
33,Blocks,0,-1,38,2.826087,1,63.1502,7.94671,23
34,Blocks,0,0,45,3.567568,1,97.08559,9.853202,37
35,Blocks,1.5,1,6,3,2,7,2.645751,3
36,Blocks,3,2,6,4,4,8,2.828427,2
37,Blocks,1.5,1,3,2,2,2,1.414214,2
38,Blocks,0.5,0,26,9,1,217,14.73092,3
39,Blocks,1.75,1,4,2.5,2.5,4.5,2.12132,2
40,Blocks,0,0,2,0.6,0,0.8,0.8944272,5
41,Blocks,0,0,0,0,0,0,0,2
42,Blocks,1,0,3,1.666667,2,2.333333,1.527525,3
43,Blocks,0,0,0,0,0,0,0,2
44,Blocks,1,1,1,1,1,0,0,2
45,Blocks,1.75,0,7,3.5,3.5,24.5,4.949747,2
46,Blocks,1,1,14,6.5,5.5,43,6.557439,4
47,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
48,Blocks,1,1,1,1,1,0,0,2
49,Blocks,1,1,5,2.333333,1,5.333333,2.309401,3
