X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1,Functions,1,-2,1175,3.349101,2,322.6414,17.96222,5560
2,Functions,0.75,0,3,1.75,2,2.25,1.5,4
3,Functions,1,0,9,2.46875,2,6.321573,2.514274,32
4,Functions,8.5,0,18,11.66667,17,102.3333,10.11599,3
5,Functions,1,1,1,1,1,0,0,2
6,Functions,7,7,7,7,7,0,0,2
7,Functions,0,-3,160,2.646277,1,144.7572,12.03151,376
8,Functions,2,1,3,2,2,0.5,0.7071068,5
9,Functions,7.75,7,10,8.5,8.5,4.5,2.12132,2
10,Functions,11.5,10,16,13,13,18,4.242641,2
11,Functions,3,2,6,4,4,8,2.828427,2
12,Functions,3.5,3,5,4,4,2,1.414214,2
13,Functions,1,1,5,2.333333,1,5.333333,2.309401,3
14,Functions,0,0,0,0,0,0,0,2
15,Functions,1,0,3,1.111111,1,0.8611111,0.9279607,9
16,Functions,0.75,0,4,1.75,1.5,2.916667,1.707825,4
17,Functions,1,0,2,1.2,1,0.7,0.83666,5
18,Functions,2,1,5,3,3,8,2.828427,2
19,Functions,71.25,1,282,141.5,141.5,39480.5,198.697,2
20,Functions,2.75,2,5,3.5,3.5,4.5,2.12132,2
21,Functions,4,4,4,4,4,0,0,2
22,Functions,0,0,3,0.8333333,0.5,1.366667,1.169045,6
23,Functions,0,0,15,2.333333,1,23.5,4.84768,9
24,Functions,1.25,1,2,1.5,1.5,0.5,0.7071068,2
25,Functions,0,0,128,3.45283,1,306.6372,17.51106,53
26,Functions,1.75,1,4,2.5,2.5,4.5,2.12132,2
27,Functions,1.75,1,4,2.5,2.5,4.5,2.12132,2
28,Functions,43,43,43,43,43,0,0,2
29,Functions,0.75,0,3,1.5,1.5,4.5,2.12132,2
30,Functions,2,1,3,2.333333,3,1.333333,1.154701,3
31,Functions,1,1,1,1,1,0,0,2
32,Functions,0,-2,76,2.409756,1,41.26265,6.423601,205
33,Functions,0,0,0,0,0,0,0,2
34,Functions,10.5,1,39,20,20,722,26.87006,2
35,Functions,1.25,1,4,2.166667,2,1.366667,1.169045,6
36,Functions,1,1,2,1.4,1,0.3,0.5477226,5
37,Functions,6.25,6,7,6.5,6.5,0.5,0.7071068,2
38,Functions,3.5,1,7,4.666667,6,10.33333,3.21455,3
39,Functions,5.75,2,13,7.75,8,20.91667,4.573474,4
40,Functions,2,1,8,4,3,13,3.605551,3
41,Functions,0,0,5,1.769231,2,2.692308,1.640825,13
42,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
43,Functions,1.5,0,27,8.25,3,158.9167,12.60622,4
44,Functions,0,0,0,0,0,0,0,2
45,Functions,1.25,1,6,2.857143,3,2.593407,1.610406,14
46,Functions,0.75,0,46,6.375,1,256.5536,16.01729,8
47,Functions,7,1,25,13,13,288,16.97056,2
48,Functions,3.5,1,11,6,6,50,7.071068,2
49,Functions,1,0,44,4.257143,2,58.65756,7.658822,70
50,Functions,2,1,5,3,3,8,2.828427,2
51,Functions,1,1,1,1,1,0,0,3
52,Functions,12,1,27,17,23,196,14,3
53,Functions,2,2,2,2,2,0,0,2
54,Functions,1,0,34,3.240602,2,19.00228,4.35916,133
55,Functions,1,-1,460,10.69565,2,3206.362,56.62475,69
56,Functions,2,2,2,2,2,0,0,2
