X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1,Blocks,1,1,1,1,1,0,0,2
2,Blocks,0,-9,2103,2.441152,1,869.1656,29.48161,5905
3,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
4,Blocks,0,0,2,0.6666667,1,0.5,0.7071068,9
5,Blocks,0,-3,24,1.216216,0,17.84084,4.223842,37
6,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
7,Blocks,1.5,1,3,2,2,2,1.414214,2
8,Blocks,-1.25,-2,1,-0.5,-0.5,1.666667,1.290994,4
9,Blocks,1,0,2,1.333333,2,1.333333,1.154701,3
10,Blocks,2,2,2,2,2,0,0,2
11,Blocks,0,0,0,0,0,0,0,2
12,Blocks,0,0,10,5,5,33.33333,5.773503,4
13,Blocks,0,0,0,0,0,0,0,2
14,Blocks,0,0,1,0.5,0.5,0.3333333,0.5773503,4
15,Blocks,0,-1,2,0.2,0,0.6222222,0.7888106,10
16,Blocks,2.75,2,5,3.5,3.5,4.5,2.12132,2
17,Blocks,3.25,1,10,5.5,5.5,40.5,6.363961,2
18,Blocks,1.25,0,5,2.5,2.5,12.5,3.535534,2
19,Blocks,0,0,0,0,0,0,0,2
20,Blocks,0,-1,5,0.6875,0,2.028226,1.424158,32
21,Blocks,0,0,4,1.333333,0,5.333333,2.309401,3
22,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
23,Blocks,0,0,3,1,1,1.5,1.224745,5
24,Blocks,3,3,3,3,3,0,0,2
25,Blocks,1.75,1,2,1.75,2,0.25,0.5,4
26,Blocks,1.25,0,5,2.5,2.5,12.5,3.535534,2
27,Blocks,0,-3,10,0.6486486,0,7.78979,2.791019,37
28,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
29,Blocks,0,-3,90,3.728395,1,146.5966,12.10771,162
30,Blocks,0,-1,37,6.190476,1,167.8619,12.95615,21
31,Blocks,11,11,11,11,11,0,0,2
32,Blocks,-2.75,-4,1,-1.5,-1.5,12.5,3.535534,2
33,Blocks,0,0,0,0,0,0,0,2
34,Blocks,0,0,0,0,0,0,0,2
35,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
36,Blocks,0,0,3,1.4,1,2.3,1.516575,5
37,Blocks,0.5,0,2,1,1,1,1,3
38,Blocks,0,-1,4,1.214286,0.5,2.796703,1.672335,14
39,Blocks,2,2,2,2,2,0,0,2
40,Blocks,-1.25,-2,1,-0.5,-0.5,4.5,2.12132,2
41,Blocks,0,0,0,0,0,0,0,4
42,Blocks,0,0,1,0.4,0,0.3,0.5477226,5
43,Blocks,1.5,1,3,2,2,2,1.414214,2
44,Blocks,1,0,4,1.285714,1,1.142857,1.069045,14
45,Blocks,0,0,4,1.25,0.5,3.583333,1.892969,4
46,Blocks,2,2,2,2,2,0,0,2
47,Blocks,-1.25,-5,0,-1.125,-0.5,2.982143,1.726888,8
48,Blocks,0,0,0,0,0,0,0,2
49,Blocks,0,0,4,1.2,1,2.7,1.643168,5
50,Blocks,1,1,1,1,1,0,0,3
51,Blocks,0.5,0,2,1,1,2,1.414214,2
52,Blocks,0,0,1,0.3333333,0,0.3333333,0.5773503,3
53,Blocks,1,0,4,2,2,8,2.828427,2
54,Blocks,0,0,1,0.5714286,1,0.2857143,0.5345225,7
55,Blocks,1.5,1,3,2,2,1,1,3
56,Blocks,1,1,1,1,1,0,0,2
57,Blocks,2,2,2,2,2,0,0,2
58,Blocks,1.25,0,5,2.5,2.5,12.5,3.535534,2
