X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1,Functions,0,-31,1774,1.167899,0,132.2851,11.50153,29613
2,Functions,0.5,0,2,1,1,1,1,3
3,Functions,0.5,0,2,1,1,1,1,3
4,Functions,0.5,0,2,1,1,1,1,3
5,Functions,0,0,0,0,0,0,0,2
6,Functions,-0.5,-2,2,0.25,0.5,2.916667,1.707825,4
7,Functions,0,-2,2,0.09090909,0,1.705628,1.305997,22
8,Functions,-2,-2,1,-0.07692308,1,1.910256,1.38212,13
9,Functions,0,-5,11,0.4831933,0,2.748661,1.657909,238
10,Functions,0,0,1,0.3333333,0,0.3333333,0.5773503,3
11,Functions,1,1,1,1,1,0,0,4
12,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
13,Functions,1,1,1,1,1,0,0,2
14,Functions,0.5,-2,8,3,3,50,7.071068,2
15,Functions,1,0,4,2,2,8,2.828427,2
16,Functions,1.75,1,6,2.625,2,2.839286,1.685018,8
17,Functions,0,0,0,0,0,0,0,2
18,Functions,0,-2,8,1.8,1,14.2,3.768289,5
19,Functions,0,0,2,0.8571429,1,0.8095238,0.8997354,7
20,Functions,-1,-2,1,-0.3571429,0,0.5549451,0.7449463,14
21,Functions,0.75,0,2,1,1,0.6666667,0.8164966,4
22,Functions,1,1,1,1,1,0,0,2
23,Functions,-0.25,-1,1,0,0,0.6666667,0.8164966,4
24,Functions,-0.5,-1,1,0,0,2,1.414214,2
25,Functions,0,0,0,0,0,0,0,4
26,Functions,0,-3,31,3.2,0.5,97.28889,9.863513,10
27,Functions,0,0,0,0,0,0,0,3
28,Functions,1,0,17,3,1,23.6,4.857983,11
29,Functions,1,1,1,1,1,0,0,2
30,Functions,0,0,3,1.125,1,1.267857,1.125992,8
31,Functions,0,-2,2,0.3333333,0.5,1.866667,1.36626,6
32,Functions,0,0,12,3.5,1,33,5.744563,4
33,Functions,0,0,2,0.5882353,0,0.5073529,0.7122871,17
34,Functions,0,0,0,0,0,0,0,2
35,Functions,0,0,3,1,0.5,2,1.414214,4
36,Functions,0,-1,1,0.1666667,0,0.5666667,0.7527727,6
37,Functions,-0.5,-1,1,0,0,1,1,3
38,Functions,0,0,4,0.8,0.5,1.511111,1.229273,10
39,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
40,Functions,0,-8,19,0.5267176,0,5.466588,2.338074,131
