UserId,VoteTypeId,Percentile25,minValue,CloneGroupMax,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,elementNo
1996,Downvotes,0,0,0,0,0,0,0,0
2405,Downvotes,2,1,5,3,3,8,2.828427,2
2644,Downvotes,6,6,6,6,6,0,0,1
1288,Downvotes,1.5,1,3,2,2,2,1.414214,2
4358,Downvotes,1,1,1,1,1,0,0,1
3827,Downvotes,0,0,0,0,0,0,0,0
6282,Downvotes,0,0,0,0,0,0,0,0
9767,Downvotes,0,0,0,0,0,0,0,0
11705,Downvotes,26,26,26,26,26,0,0,1
4725,Downvotes,2,2,2,2,2,0,0,1
13005,Downvotes,3,3,3,3,3,0,0,1
2603,Downvotes,2,2,2,2,2,0,0,1
13531,Downvotes,0,0,0,0,0,0,0,0
21027,Downvotes,0,0,0,0,0,0,0,0
304,Downvotes,1,1,1,1,1,0,0,2
4396,Downvotes,0,0,0,0,0,0,0,0
27016,Downvotes,0,0,0,0,0,0,0,0
12943,Downvotes,2,2,2,2,2,0,0,1
9774,Downvotes,0,0,0,0,0,0,0,0
12860,Downvotes,1,1,1,1,1,0,0,1
12950,Downvotes,0,0,0,0,0,0,0,0
15459,Downvotes,5,5,5,5,5,0,0,1
14160,Downvotes,1,1,1,1,1,0,0,1
39263,Downvotes,0,0,0,0,0,0,0,0
39371,Downvotes,0,0,0,0,0,0,0,0
462,Downvotes,0,0,0,0,0,0,0,0
33358,Downvotes,0,0,0,0,0,0,0,0
17172,Downvotes,1.75,1,16,5.25,2,51.58333,7.182154,4
4668,Downvotes,0,0,0,0,0,0,0,0
20654,Downvotes,1,1,1,1,1,0,0,2
22656,Downvotes,1,1,1,1,1,0,0,4
48181,Downvotes,6,6,6,6,6,0,0,1
44757,Downvotes,0,0,0,0,0,0,0,0
15614,Downvotes,2,2,2,2,2,0,0,1
57752,Downvotes,0,0,0,0,0,0,0,0
6309,Downvotes,1,1,1,1,1,0,0,1
63293,Downvotes,2,2,2,2,2,0,0,1
48015,Downvotes,1,1,1,1,1,0,0,1
62255,Downvotes,0,0,0,0,0,0,0,0
4249,Downvotes,6,6,6,6,6,0,0,1
56541,Downvotes,0,0,0,0,0,0,0,0
0,Downvotes,1,1,1,1,1,0,0,4
17832,Downvotes,3,3,3,3,3,0,0,1
71421,Downvotes,0,0,0,0,0,0,0,0
65868,Downvotes,1,1,1,1,1,0,0,1
75170,Downvotes,1,1,1,1,1,0,0,1
31828,Downvotes,0,0,0,0,0,0,0,0
48062,Downvotes,0,0,0,0,0,0,0,0
