UserId,VoteTypeId,Percentile25,minValue,CloneGroupMax,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,elementNo
1996,Downvotes,124,124,124,124,124,0,0,1
2405,Downvotes,92,1,199,127.6667,183,12097.33,109.9879,3
2644,Downvotes,240,240,240,240,240,0,0,1
1288,Downvotes,5.5,4,180,73.25,54.5,7199.583,84.85036,4
4358,Downvotes,92,92,92,92,92,0,0,1
3827,Downvotes,56,56,56,56,56,0,0,1
6282,Downvotes,4,4,4,4,4,0,0,1
9767,Downvotes,7,7,7,7,7,0,0,1
11705,Downvotes,63.75,11,222,116.5,116.5,22260.5,149.1995,2
4725,Downvotes,3.5,2,103,28.75,5,2452.917,49.52693,4
13005,Downvotes,41,41,41,41,41,0,0,1
2603,Downvotes,27,27,27,27,27,0,0,1
13531,Downvotes,40.25,23,92,57.5,57.5,2380.5,48.79037,2
21027,Downvotes,7,7,7,7,7,0,0,1
304,Downvotes,3.5,1,91,14.5625,8,508.9292,22.55946,16
4396,Downvotes,4,4,4,4,4,0,0,1
27016,Downvotes,3,3,3,3,3,0,0,1
12943,Downvotes,1521,1521,1521,1521,1521,0,0,1
9774,Downvotes,2,2,2,2,2,0,0,1
12860,Downvotes,6,1,21,11,11,200,14.14214,2
12950,Downvotes,10,10,10,10,10,0,0,1
15459,Downvotes,63.5,4,242,123,123,28322,168.2914,2
14160,Downvotes,7,7,7,7,7,0,0,1
39263,Downvotes,9,9,9,9,9,0,0,1
39371,Downvotes,16,16,16,16,16,0,0,1
462,Downvotes,3,3,3,3,3,0,0,1
33358,Downvotes,219,219,219,219,219,0,0,1
17172,Downvotes,45,17,317,95.33333,58,12239.07,110.6303,6
4668,Downvotes,46,46,46,46,46,0,0,1
20654,Downvotes,1,1,76,15.33333,3,891.4667,29.85744,6
22656,Downvotes,2,1,467,20.21875,5,4116.555,64.16038,64
48181,Downvotes,222,222,222,222,222,0,0,1
44757,Downvotes,8,8,8,8,8,0,0,1
15614,Downvotes,30,30,30,30,30,0,0,1
57752,Downvotes,3.5,3,5,4,4,2,1.414214,2
6309,Downvotes,3.5,2,37,12,4.5,279.3333,16.71327,4
63293,Downvotes,2,2,20,9.5,8,81,9,4
48015,Downvotes,561,561,561,561,561,0,0,1
62255,Downvotes,18,18,18,18,18,0,0,1
4249,Downvotes,11.25,2,39,20.5,20.5,684.5,26.16295,2
56541,Downvotes,2,2,2,2,2,0,0,1
0,Downvotes,1,1,373,11.57692,2,1993.936,44.65351,78
17832,Downvotes,25,25,25,25,25,0,0,1
71421,Downvotes,11,11,11,11,11,0,0,1
65868,Downvotes,45.25,12,145,78.5,78.5,8844.5,94.0452,2
75170,Downvotes,46.25,42,59,50.5,50.5,144.5,12.02082,2
31828,Downvotes,34,34,34,34,34,0,0,1
48062,Downvotes,1,1,1,1,1,0,0,1
7412,Downvotes,5,2,146,37.33333,15,2393.75,48.92596,9
51382,Downvotes,11.5,4,34,19,19,450,21.2132,2
24054,Downvotes,11.75,3,38,20.5,20.5,612.5,24.74874,2
86723,Downvotes,5,5,5,5,5,0,0,1
62055,Downvotes,8,8,8,8,8,0,0,1
93105,Downvotes,92,92,92,92,92,0,0,1
2049208,Downvotes,5,5,5,5,5,0,0,1
3295,Downvotes,5.25,1,18,9.5,9.5,144.5,12.02082,2
91362,Downvotes,4,4,4,4,4,0,0,1
56150,Downvotes,10,10,10,10,10,0,0,1
73772,Downvotes,3,3,3,3,3,0,0,1
3474,Downvotes,3.75,1,45,10.875,5,210.9821,14.52522,8
29669,Downvotes,1,1,1,1,1,0,0,1
16542,Downvotes,4,4,4,4,4,0,0,1
148909,Downvotes,8,8,8,8,8,0,0,1
31136,Downvotes,17,4,56,30,30,1352,36.76955,2
2890,Downvotes,6,6,6,6,6,0,0,1
106560,Downvotes,13,13,13,13,13,0,0,1
53191,Downvotes,102,102,102,102,102,0,0,1
24097,Downvotes,16,16,16,16,16,0,0,1
111215,Downvotes,22,22,22,22,22,0,0,1
100408,Downvotes,73,73,73,73,73,0,0,1
76535,Downvotes,8,8,8,8,8,0,0,1
4970,Downvotes,33,33,33,33,33,0,0,1
120444,Downvotes,23.75,16,47,31.5,31.5,480.5,21.92031,2
61158,Downvotes,4.5,1,18,8,6,36.33333,6.027714,7
74139,Downvotes,4,4,4,4,4,0,0,1
118130,Downvotes,6,6,6,6,6,0,0,1
27358,Downvotes,186,186,186,186,186,0,0,1
34102,Downvotes,66,66,66,66,66,0,0,1
128988,Downvotes,1521,1521,1521,1521,1521,0,0,1
82804,Downvotes,6,6,6,6,6,0,0,1
29620,Downvotes,14,14,14,14,14,0,0,1
99389,Downvotes,143,143,143,143,143,0,0,1
118903,Downvotes,14,14,14,14,14,0,0,1
1432,Downvotes,14,14,14,14,14,0,0,1
131907,Downvotes,4,4,4,4,4,0,0,1
893,Downvotes,11,11,11,11,11,0,0,1
31118,Downvotes,68,68,68,68,68,0,0,1
67407,Downvotes,3,3,3,3,3,0,0,1
89266,Downvotes,34,34,34,34,34,0,0,1
143585,Downvotes,2.25,2,3,2.5,2.5,0.5,0.7071068,2
40618,Downvotes,9,9,9,9,9,0,0,1
10026,Downvotes,13,7,31,19,19,288,16.97056,2
147604,Downvotes,6,6,6,6,6,0,0,1
16424,Downvotes,64,64,64,64,64,0,0,1
101672,Downvotes,2,2,2,2,2,0,0,1
4507,Downvotes,4,4,4,4,4,0,0,1
147322,Downvotes,1,1,1,1,1,0,0,1
53444,Downvotes,13,13,13,13,13,0,0,1
131368,Downvotes,102,102,102,102,102,0,0,1
156225,Downvotes,1,1,1,1,1,0,0,1
14731,Downvotes,27,6,90,48,48,3528,59.39697,2
70393,Downvotes,10.75,2,37,19.5,19.5,612.5,24.74874,2
117588,Downvotes,3,3,3,3,3,0,0,1
68612,Downvotes,1.25,1,2,1.5,1.5,0.5,0.7071068,2
160270,Downvotes,4,4,4,4,4,0,0,1
112877,Downvotes,2,2,2,2,2,0,0,2
92813,Downvotes,95,95,95,95,95,0,0,1
974,Downvotes,5,5,5,5,5,0,0,1
2959,Downvotes,7.75,4,19,11.5,11.5,112.5,10.6066,2
123724,Downvotes,5,5,5,5,5,0,0,1
32965,Downvotes,11,11,11,11,11,0,0,1
143942,Downvotes,4,4,4,4,4,0,0,1
287,Downvotes,1,1,1,1,1,0,0,1
12960,Downvotes,6,2,23,11.66667,10,112.3333,10.59874,3
103043,Downvotes,2,2,10,4.5,3,14.33333,3.785939,4
132157,Downvotes,2,2,2,2,2,0,0,1
160950,Downvotes,1,1,1,1,1,0,0,1
136954,Downvotes,29.25,5,102,53.5,53.5,4704.5,68.58936,2
161142,Downvotes,2,2,2,2,2,0,0,1
90848,Downvotes,3,3,3,3,3,0,0,1
152578,Downvotes,55.75,37,112,74.5,74.5,2812.5,53.03301,2
18393,Downvotes,5.5,4,82,17.57143,7,812.2857,28.50063,7
166611,Downvotes,59,59,59,59,59,0,0,1
22996,Downvotes,12,12,12,12,12,0,0,1
70786,Downvotes,60,60,60,60,60,0,0,1
131872,Downvotes,2,1,105,5.706587,3,116.7025,10.8029,167
121993,Downvotes,1,1,1,1,1,0,0,1
14467,Downvotes,57.75,3,222,112.5,112.5,23980.5,154.8564,2
11732,Downvotes,52,52,52,52,52,0,0,1
