CloneGroupType,X2,EachGroup_25Percentile,CloneGroupMax,CloneGroupMin,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,X10,ShanonEntropy,NorShanonEntropy,X13,X14
1,Functions,1.00,1175.00,-2.00,3.35,2.00,322.64,17.96222,5560,3.1178345482532777,NaN,NA,NA
2,Functions,0.75,3.00,0.00,1.75,2.00,2.25,1.5,4,1.5,NaN,NA,NA
3,Functions,1.00,9.00,0.00,2.47,2.00,6.32,2.514274,32,2.6774212838293647,NaN,NA,NA
4,Functions,8.50,18.00,0.00,11.67,17.00,102.33,10.11599,3,1.584962500721156,NaN,NA,NA
5,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
6,Functions,7.00,7.00,7.00,7.00,7.00,0.00,0,2,-0,1,NA,NA
7,Functions,0.00,160.00,-3.00,2.65,1.00,144.76,12.03151,376,2.6939365132270123,NaN,NA,NA
8,Functions,2.00,3.00,1.00,2.00,2.00,0.50,0.7071068,5,1.3709505944546687,0.9674887648835616,NA,NA
9,Functions,7.75,10.00,7.00,8.50,8.50,4.50,2.12132,2,1,0.9774178175281716,NA,NA
10,Functions,11.50,16.00,10.00,13.00,13.00,18.00,4.242641,2,1,0.9612366047228759,NA,NA
11,Functions,3.00,6.00,2.00,4.00,4.00,8.00,2.828427,2,1,0.8112781244591328,NA,NA
12,Functions,3.50,5.00,3.00,4.00,4.00,2.00,1.414214,2,1,0.954434002924965,NA,NA
13,Functions,1.00,5.00,1.00,2.33,1.00,5.33,2.309401,3,0.9182958340544896,0.72483409150576,NA,NA
14,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
15,Functions,1.00,3.00,0.00,1.11,1.00,0.86,0.9279607,9,1.657742726504889,NaN,NA,NA
16,Functions,0.75,4.00,0.00,1.75,1.50,2.92,1.707825,4,2,NaN,NA,NA
17,Functions,1.00,2.00,0.00,1.20,1.00,0.70,0.83666,5,1.5219280948873621,NaN,NA,NA
18,Functions,2.00,5.00,1.00,3.00,3.00,8.00,2.828427,2,1,0.6500224216483541,NA,NA
19,Functions,71.25,282.00,1.00,141.50,141.50,39480.50,198.697,2,1,0.03386855598926829,NA,NA
20,Functions,2.75,5.00,2.00,3.50,3.50,4.50,2.12132,2,1,0.863120568566631,NA,NA
21,Functions,4.00,4.00,4.00,4.00,4.00,0.00,0,2,-0,1,NA,NA
22,Functions,0.00,3.00,0.00,0.83,0.50,1.37,1.169045,6,1.4591479170272448,NaN,NA,NA
23,Functions,0.00,15.00,0.00,2.33,1.00,23.50,4.84768,9,1.7527152789797047,NaN,NA,NA
24,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
25,Functions,0.00,128.00,0.00,3.45,1.00,306.64,17.51106,53,1.9700686501107056,NaN,NA,NA
26,Functions,1.75,4.00,1.00,2.50,2.50,4.50,2.12132,2,1,0.7219280948873623,NA,NA
27,Functions,1.75,4.00,1.00,2.50,2.50,4.50,2.12132,2,1,0.7219280948873623,NA,NA
28,Functions,43.00,43.00,43.00,43.00,43.00,0.00,0,2,-0,1,NA,NA
29,Functions,0.75,3.00,0.00,1.50,1.50,4.50,2.12132,2,1,NaN,NA,NA
30,Functions,2.00,3.00,1.00,2.33,3.00,1.33,1.154701,3,0.9182958340544896,0.9141008920185653,NA,NA
31,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
32,Functions,0.00,76.00,-2.00,2.41,1.00,41.26,6.423601,205,2.7200454151835194,NaN,NA,NA
33,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
34,Functions,10.50,39.00,1.00,20.00,20.00,722.00,26.87006,2,1,0.16866093149667025,NA,NA
35,Functions,1.25,4.00,1.00,2.17,2.00,1.37,1.169045,6,1.9182958340544896,0.9329350879565486,NA,NA
36,Functions,1.00,2.00,1.00,1.40,1.00,0.30,0.5477226,5,0.9709505944546686,0.9629610647945144,NA,NA
37,Functions,6.25,7.00,6.00,6.50,6.50,0.50,0.7071068,2,1,0.9957274520849255,NA,NA
38,Functions,3.50,7.00,1.00,4.67,6.00,10.33,3.21455,3,1.584962500721156,0.8175817337644011,NA,NA
39,Functions,5.75,13.00,2.00,7.75,8.00,20.92,4.573474,4,2,0.8918316099802402,NA,NA
40,Functions,2.00,8.00,1.00,4.00,3.00,13.00,3.605551,3,1.584962500721156,0.75,NA,NA
41,Functions,0.00,5.00,0.00,1.77,2.00,2.69,1.640825,13,2.4116022179746714,NaN,NA,NA
42,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
43,Functions,1.50,27.00,0.00,8.25,3.00,158.92,12.60622,4,2,NaN,NA,NA
44,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
45,Functions,1.25,6.00,1.00,2.86,3.00,2.59,1.610406,14,1.9852281360342514,0.9430349006686342,NA,NA
