X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
2,Blocks,1,1,1,1,1,0,0,2
16,Blocks,0,0,0,0,0,0,0,3
23,Blocks,0,0,0,0,0,0,0,2
41,Blocks,0,0,0,0,0,0,0,2
43,Blocks,0,0,0,0,0,0,0,2
44,Blocks,1,1,1,1,1,0,0,2
48,Blocks,1,1,1,1,1,0,0,2
51,Blocks,2,2,2,2,2,0,0,3
65,Blocks,1,1,1,1,1,0,0,2
79,Blocks,1,1,1,1,1,0,0,2
81,Blocks,2,2,2,2,2,0,0,2
87,Blocks,2,2,2,2,2,0,0,2
97,Blocks,1,1,1,1,1,0,0,2
104,Blocks,0,0,0,0,0,0,0,2
124,Blocks,0,0,0,0,0,0,0,3
125,Blocks,1,1,1,1,1,0,0,2
143,Blocks,2,2,2,2,2,0,0,2
145,Blocks,3,3,3,3,3,0,0,2
150,Blocks,1,1,1,1,1,0,0,2
151,Blocks,0,0,0,0,0,0,0,2
152,Blocks,2,2,2,2,2,0,0,2
158,Blocks,0,0,0,0,0,0,0,2
160,Blocks,0,0,0,0,0,0,0,2
168,Blocks,0,0,0,0,0,0,0,2
195,Blocks,0,0,0,0,0,0,0,2
198,Blocks,3,3,3,3,3,0,0,2
200,Blocks,0,0,0,0,0,0,0,2
205,Blocks,1,1,1,1,1,0,0,2
217,Blocks,0,0,0,0,0,0,0,2
224,Blocks,1,1,1,1,1,0,0,2
229,Blocks,1,1,1,1,1,0,0,2
240,Blocks,1,1,1,1,1,0,0,2
246,Blocks,0,0,0,0,0,0,0,2
247,Blocks,9,9,9,9,9,0,0,2
263,Blocks,5,5,5,5,5,0,0,2
274,Blocks,1,1,1,1,1,0,0,2
277,Blocks,2,2,2,2,2,0,0,2
285,Blocks,0,0,0,0,0,0,0,2
292,Blocks,5,5,5,5,5,0,0,2
303,Blocks,1,1,1,1,1,0,0,2
305,Blocks,0,0,0,0,0,0,0,2
316,Blocks,0,0,0,0,0,0,0,2
318,Blocks,0,0,0,0,0,0,0,2
329,Blocks,1,1,1,1,1,0,0,2
330,Blocks,1,1,1,1,1,0,0,2
331,Blocks,0,0,0,0,0,0,0,2
333,Blocks,0,0,0,0,0,0,0,2
336,Blocks,0,0,0,0,0,0,0,2
337,Blocks,3,3,3,3,3,0,0,2
346,Blocks,1,1,1,1,1,0,0,2
351,Blocks,1,1,1,1,1,0,0,2
360,Blocks,1,1,1,1,1,0,0,2
362,Blocks,5,5,5,5,5,0,0,2
364,Blocks,0,0,0,0,0,0,0,2
375,Blocks,2,2,2,2,2,0,0,2
376,Blocks,1,1,1,1,1,0,0,2
381,Blocks,2,2,2,2,2,0,0,2
382,Blocks,53,53,53,53,53,0,0,2
384,Blocks,0,0,0,0,0,0,0,2
391,Blocks,0,0,0,0,0,0,0,2
394,Blocks,1,1,1,1,1,0,0,2
395,Blocks,0,0,0,0,0,0,0,2
409,Blocks,0,0,0,0,0,0,0,2
431,Blocks,1,1,1,1,1,0,0,4
432,Blocks,0,0,0,0,0,0,0,2
434,Blocks,0,0,0,0,0,0,0,2
443,Blocks,0,0,0,0,0,0,0,2
444,Blocks,1,1,1,1,1,0,0,2
446,Blocks,0,0,0,0,0,0,0,3
453,Blocks,1,1,1,1,1,0,0,2
454,Blocks,3,3,3,3,3,0,0,2
456,Blocks,1,1,1,1,1,0,0,2
457,Blocks,4,4,4,4,4,0,0,2
458,Blocks,0,0,0,0,0,0,0,2
463,Blocks,1,1,1,1,1,0,0,2
465,Blocks,0,0,0,0,0,0,0,2
466,Blocks,0,0,0,0,0,0,0,2
470,Blocks,0,0,0,0,0,0,0,2
472,Blocks,2,2,2,2,2,0,0,2
475,Blocks,0,0,0,0,0,0,0,2
481,Blocks,1,1,1,1,1,0,0,2
482,Blocks,1,1,1,1,1,0,0,2
495,Blocks,0,0,0,0,0,0,0,2
499,Blocks,2,2,2,2,2,0,0,2
501,Blocks,3,3,3,3,3,0,0,2
503,Blocks,0,0,0,0,0,0,0,4
504,Blocks,1,1,1,1,1,0,0,2
512,Blocks,7,7,7,7,7,0,0,2
518,Blocks,1,1,1,1,1,0,0,2
522,Blocks,4,4,4,4,4,0,0,2
526,Blocks,5,5,5,5,5,0,0,2
