PostId,ClassType,NoOfLines,Similarity,CodeChar
16164044,1,11,70,191
20285004,1,11,70,170
48685494,1,11,70,426
3305405,1,11,70,443
3991577,1,11,70,287
18746513,1,11,70,371
481446,1,11,70,211
30881972,1,11,70,289
44153052,1,11,70,380
183499,1,11,70,237
53165499,1,11,70,166
6265656,1,11,70,168
30478018,1,11,70,282
2658022,1,11,70,318
13197247,1,11,70,188
33375511,1,11,70,371
12428758,1,11,70,302
9208504,1,11,70,273
36785985,1,11,70,849
23211800,1,11,70,605
30478018,1,11,70,308
12289494,1,11,70,277
31608808,1,11,70,291
5415111,1,11,70,415
39804975,1,11,70,303
7828548,1,11,70,197
39658724,1,11,70,326
20693191,1,11,70,464
34920181,1,11,70,618
6265656,1,11,70,288
24097964,1,11,70,815
23005825,1,11,70,228
45956911,1,11,70,425
34029234,1,11,70,315
35653921,1,11,70,159
14708710,1,11,70,295
3835830,1,11,70,462
6464302,1,11,70,471
14817536,1,11,70,401
28854207,1,11,70,621
52800881,1,11,70,220
34283684,1,11,70,224
7342118,1,11,70,206
8507377,1,11,70,247
4280831,1,11,70,613
36732971,1,11,70,332
50037755,1,11,70,304
5828722,1,11,70,591
14211920,1,11,70,180
10839413,1,11,70,273
47338022,1,11,70,325
31371918,1,11,70,600
28400767,1,11,70,249
36889768,1,11,70,280
40491996,1,11,70,445
13835749,1,11,70,194
11106111,1,11,70,306
28659462,1,11,70,136
32861485,1,11,70,273
15776730,1,11,70,151
15500946,1,11,70,178
3526167,1,11,70,169
44397647,1,11,70,421
26431003,1,11,70,542
8471403,1,11,70,272
9583616,1,11,70,762
16438336,1,11,70,308
24532424,1,11,70,296
36483698,1,11,70,349
26218918,1,11,70,267
8213089,1,11,70,205
40432886,1,11,70,403
47518334,1,11,70,347
6416153,1,11,70,312
9712640,1,11,70,311
21111671,1,11,70,337
18892173,1,11,70,285
5122890,1,11,70,204
17998936,1,11,70,193
43956250,1,11,70,301
43956250,1,11,70,305
27289638,1,11,70,342
9020424,1,11,70,441
17573528,1,11,70,220
40433059,1,11,70,413
3447102,1,11,70,117
46571540,1,11,70,305
1932201,1,11,70,302
23151988,1,11,70,213
12421764,1,11,70,283
27764392,1,11,70,254
16270083,1,11,70,180
52990630,1,11,70,202
9150200,1,11,70,181
16270083,1,11,70,180
41112231,1,11,70,330
16732553,1,11,70,393
5855276,1,11,70,285
28269927,1,11,70,402
31139383,1,11,70,684
22779514,1,11,70,417
13118930,1,11,70,344
34920181,1,11,70,673
32212533,1,11,70,390
37334219,1,11,70,281
46502159,1,11,70,595
10436785,1,11,70,741
4764355,1,11,70,373
25053023,1,11,70,536
22275916,1,11,70,351
20797051,1,11,70,331
183499,1,11,70,183
5888176,1,11,70,325
14708710,1,11,70,299
26021026,1,11,70,555
33579918,1,11,70,839
9020424,1,11,70,546
35512442,1,11,70,539
19315263,1,11,70,231
7300494,1,11,70,304
18222413,1,11,70,310
632546,1,11,70,175
14708710,1,11,70,296
11638306,1,11,70,460
6926352,1,11,70,328
11552182,1,11,70,131
4428109,1,11,70,531
29254418,1,11,70,648
37666337,1,11,70,729
4764355,1,11,70,424
29447622,1,11,70,1208
52349633,1,11,70,746
14656021,1,11,70,374
13505525,1,11,70,389
34383258,1,11,70,362
3753762,1,11,70,587
7433228,1,11,70,265
10933291,1,11,70,301
6608829,1,11,70,568
31504054,1,11,70,351
22019473,1,11,70,477
9278809,1,11,70,359
33996368,1,11,70,388
24574432,1,11,70,263
20703607,1,11,70,293
3495926,1,11,70,229
32010603,1,11,70,621
48449093,1,11,70,242
933483,1,11,70,967
34283684,1,11,70,269
7917402,1,11,70,249
16293172,1,11,70,179
10094017,1,11,70,341
9374578,1,11,70,331
14412411,1,11,70,315
14412411,1,11,70,287
13879967,1,11,70,250
46057675,1,11,70,246
15515369,1,11,70,266
20955117,1,11,70,399
2920044,1,11,70,302
5676130,1,11,70,564
17618272,1,11,70,538
14708710,1,11,70,300
26008913,1,11,70,576
12728425,1,11,70,501
16483233,1,11,70,529
52566490,1,11,70,182
17885242,1,11,70,587
10148947,1,11,70,409
40823981,1,11,70,274
52254578,1,11,70,245
40283365,1,11,70,512
31878763,1,11,70,232
9017752,1,11,70,333
10733500,1,11,70,330
8355149,1,11,70,208
5660390,1,11,70,362
2308979,1,11,70,284
51743831,1,11,70,317
5660390,1,11,70,375
16438336,1,11,70,272
7300494,1,11,70,316
43645780,1,11,70,409
44896629,1,11,70,326
12830827,1,11,70,389
31869595,1,11,70,727
340748,1,11,70,195
12435164,1,11,70,307
12989107,1,11,70,288
5156898,1,11,70,387
24381981,1,11,70,421
17289981,1,11,70,258
9476341,1,11,70,272
24574432,1,11,70,273
16483233,1,11,70,347
12989107,1,11,70,288
24908860,1,11,70,299
6464302,1,11,70,335
6191710,1,11,70,337
10733500,1,11,70,295
40283365,1,11,70,508
22834614,1,11,70,190
1410951,1,11,70,122
7318166,1,11,70,243
802315,1,11,70,316
31139383,1,11,70,259
4764355,1,11,70,283
4829761,1,11,70,225
3952696,1,11,70,217
8444239,1,11,70,174
48309580,1,11,70,285
2187464,1,11,70,259
8708473,1,11,70,256
12840368,1,11,70,325
4201414,1,11,70,181
29146209,1,11,70,333
31139383,1,11,70,264
27764392,1,11,70,222
11355339,1,11,70,249
5148995,1,11,70,238
11355339,1,11,70,232
52191666,1,11,70,239
39092273,1,11,70,208
13901779,1,11,70,236
40823981,1,11,70,240
30945794,1,11,70,226
2877955,1,11,70,284
12010053,1,11,70,188
34216419,1,11,70,262
11355339,1,11,70,203
34920181,1,11,70,356
16762085,1,11,70,310
8463985,1,11,70,240
2187464,1,11,70,271
13172434,1,11,70,264
33041372,1,11,70,253
32816875,1,11,70,142
8096087,1,11,70,202
12623400,1,11,70,374
12109064,1,11,70,254
8355149,1,11,70,276
12598621,1,11,70,312
50582818,1,11,70,328
32816875,1,11,70,142
2658022,1,11,70,171
31683135,1,11,70,204
21143996,1,11,70,210
25201482,1,11,70,358
18181306,1,11,70,333
22745035,1,11,70,224
10535061,1,11,70,228
7139066,1,11,70,231
36109859,1,11,70,233
18884552,1,11,70,248
34954601,1,11,70,360
13495657,1,11,70,136
8945458,1,11,70,291
37542592,1,11,70,286
22779514,1,11,70,267
8213089,1,11,70,201
8368114,1,11,70,366
14771239,1,11,70,203
49551392,1,11,70,169
36483698,1,11,70,278
20270070,1,11,70,271
5378391,1,11,70,322
48185693,1,11,70,174
8573724,1,11,70,203
20839021,1,11,70,280
40721763,1,11,70,141
7503217,1,11,70,253
7600117,1,11,70,253
6608829,1,11,70,405
10705240,1,11,70,299
36483698,1,11,70,315
9583616,1,11,70,929
18640996,1,11,70,387
9632960,1,11,70,476
43956250,1,11,70,427
43956250,1,11,70,423
48926937,1,11,70,367
11046200,1,11,70,331
40432886,1,11,70,407
723428,1,11,70,408
1922224,1,11,70,359
2877955,1,11,70,347
20409578,1,11,70,256
9903736,1,11,70,185
7652050,1,11,70,213
20409578,1,11,70,244
10204832,1,11,70,167
14410044,1,11,70,209
7875861,1,11,70,229
47338022,1,11,70,282
10942097,1,11,70,416
31774227,1,11,70,310
25391418,1,11,70,350
29264545,1,11,70,393
16657479,1,11,70,306
33263428,1,11,70,208
25301277,1,11,70,414
19769217,1,11,70,252
10099308,1,11,70,356
37666337,1,11,70,317
1168567,1,11,70,407
15246614,1,11,70,321
6018678,1,11,70,219
7904995,1,11,70,240
8373714,1,11,70,197
6990246,1,11,70,197
36934061,1,11,70,113
12613126,1,11,70,144
33778371,1,11,70,239
38378910,1,11,70,423
29394536,1,11,70,278
14167412,1,11,70,202
33771946,1,11,70,225
5098780,1,11,70,275
39068221,1,11,70,257
9265872,1,11,70,447
8055533,1,11,70,238
38728453,1,11,70,252
8355149,1,11,70,338
11772053,1,11,70,439
40004540,1,11,70,217
10710796,1,11,70,309
29394536,1,11,70,518
15948853,1,11,70,245
12829492,1,11,70,269
25947221,1,11,70,261
33871935,1,11,70,362
9090133,1,11,70,237
12113213,1,11,70,222
38508966,1,11,70,368
19313902,1,11,70,150
24433538,1,11,70,245
11046200,1,11,70,328
723428,1,11,70,373
11310194,1,11,70,371
8856597,1,11,70,352
35305600,1,11,70,377
36526526,1,11,70,369
12978239,1,11,70,335
35837747,1,11,70,347
14656635,1,11,70,338
4430522,1,11,70,312
37507569,1,11,70,326
8244723,1,11,70,298
10436785,1,11,70,368
53843011,1,11,70,418
741753,1,11,70,250
40991083,1,11,70,222
27986032,1,11,70,299
12683867,1,11,70,393
13774802,1,11,70,222
48926937,1,11,70,331
13774802,1,11,70,220
708333,1,11,70,166
34999377,1,11,70,285
29677085,1,11,70,252
27446383,1,11,70,740
4186330,1,11,70,296
42708516,1,11,70,376
32788316,1,11,70,377
22781101,1,11,70,540
21111671,1,11,70,383
16637516,1,11,70,355
53858442,1,11,70,221
52990630,1,11,70,179
48926937,1,11,70,294
5115940,1,11,70,461
13351563,1,11,70,319
11655020,1,11,70,168
53858442,1,11,70,250
2996462,1,11,70,198
31104800,1,11,70,318
36785985,1,11,70,417
